date,Citi_OT,BAC_OT,Barclay_OT,OT
1989-10-06,24.485001,12.84375,83.796799,2.890625
1989-10-09,24.2775,12.8125,83.137001,2.921875
1989-10-10,24.588751,12.78125,82.477203,2.984375
1989-10-11,24.38125,12.75,82.477203,2.921875
1989-10-12,24.38125,12.625,83.301903,2.875
1989-10-13,21.68375,11.875,81.487396,2.8125
1989-10-16,23.032499,12.75,79.672897,2.8125
1989-10-17,23.4475,12.46875,78.353302,2.859375
1989-10-18,23.966249,12.40625,77.858398,2.828125
1989-10-19,24.692499,12.625,78.1884,2.84375
1989-10-20,24.588751,12.65625,78.353302,2.84375
1989-10-23,23.862499,12.75,78.023399,2.78125
1989-10-24,23.4475,12.4375,76.538803,2.75
1989-10-25,23.862499,12.375,76.703796,2.8125
1989-10-26,23.758751,12.125,75.549103,2.8125
1989-10-27,22.825001,11.5625,73.899498,2.75
1989-10-30,23.4475,11.71875,74.889297,2.71875
1989-10-31,23.862499,11.8125,76.373901,2.71875
1989-11-01,23.4475,11.65625,76.538803,2.71875
1989-11-02,23.55125,11.5,76.703796,2.65625
1989-11-03,23.655001,11.46875,78.848198,2.65625
1989-11-06,23.34375,11.15625,78.353302,2.65625
1989-11-07,23.032499,11.375,78.1884,2.65625
1989-11-08,22.928749,11.78125,77.858398,2.671875
1989-11-09,22.721251,11.84375,81.9823,2.59375
1989-11-10,23.032499,12.1875,85.281403,2.59375
1989-11-13,23.24,12.5,84.9515,2.65625
1989-11-14,23.13625,12.3125,84.786499,2.640625
1989-11-15,23.032499,12.28125,84.786499,2.6875
1989-11-16,22.928749,12.21875,85.611298,2.65625
1989-11-17,23.032499,12.15625,86.930901,2.609375
1989-11-20,22.928749,11.875,84.621597,2.609375
1989-11-21,23.13625,11.78125,84.456596,2.625
1989-11-22,23.24,11.71875,84.291702,2.671875
1989-11-24,23.655001,11.75,86.600998,2.625
1989-11-27,24.17375,11.90625,86.436096,2.625
1989-11-28,24.17375,12.0,87.425797,2.640625
1989-11-29,23.862499,11.9375,89.735199,2.6875
1989-11-30,24.17375,11.71875,89.405296,2.703125
1989-12-01,24.588751,11.59375,90.230003,2.796875
1989-12-04,24.692499,11.4375,90.889801,2.78125
1989-12-05,24.485001,11.21875,90.394997,2.75
1989-12-06,23.758751,10.59375,90.559898,2.609375
1989-12-07,23.4475,10.90625,90.065102,2.65625
1989-12-08,24.07,10.96875,89.405296,2.640625
1989-12-11,24.17375,10.75,89.735199,2.65625
1989-12-12,24.38125,11.0,91.054802,2.671875
1989-12-13,24.17375,11.0,92.869301,2.5625
1989-12-14,24.485001,11.0,92.209503,2.46875
1989-12-15,24.17375,11.03125,92.209503,2.40625
1989-12-18,22.928749,10.71875,92.044502,2.375
1989-12-19,22.51375,10.40625,90.559898,2.40625
1989-12-20,22.51375,10.75,90.724899,2.5
1989-12-21,22.30625,10.875,91.549698,2.59375
1989-12-22,22.51375,11.09375,92.044502,2.640625
1989-12-26,22.51375,11.375,92.044502,2.734375
1989-12-27,22.825001,11.53125,93.529099,2.796875
1989-12-28,22.928749,11.625,93.034302,2.859375
1989-12-29,23.655001,11.5625,94.188904,2.8125
1990-01-02,24.38125,11.65625,94.353897,2.828125
1990-01-03,24.692499,11.75,95.508598,2.703125
1990-01-04,24.38125,11.5,94.848801,2.671875
1990-01-05,24.588751,11.25,95.508598,2.59375
1990-01-08,24.796249,11.3125,95.508598,2.671875
1990-01-09,24.485001,11.3125,95.508598,2.59375
1990-01-10,24.2775,11.09375,93.859001,2.625
1990-01-11,24.485001,11.0,93.694099,2.625
1990-01-12,23.24,10.6875,92.209503,2.578125
1990-01-15,23.13625,10.375,91.384697,2.5625
1990-01-16,23.032499,10.75,91.054802,2.59375
1990-01-17,23.655001,10.8125,92.374397,2.640625
1990-01-18,23.966249,10.65625,92.044502,2.640625
1990-01-19,23.966249,11.0625,91.549698,2.640625
1990-01-22,22.928749,10.875,90.559898,2.578125
1990-01-23,22.202499,11.09375,90.724899,2.578125
1990-01-24,22.41,10.96875,91.054802,2.546875
1990-01-25,21.58,10.9375,89.900101,2.5625
1990-01-26,21.7875,10.75,91.384697,2.609375
1990-01-29,21.68375,10.625,92.209503,2.578125
1990-01-30,20.85375,10.21875,93.529099,2.515625
1990-01-31,21.68375,10.5,95.013702,2.59375
1990-02-01,21.7875,10.34375,96.6633,2.546875
1990-02-02,22.41,10.71875,96.6633,2.546875
1990-02-05,22.30625,10.5,96.003403,2.46875
1990-02-06,21.58,10.375,94.188904,2.359375
1990-02-07,22.41,10.5625,93.199203,2.375
1990-02-08,22.202499,10.4375,93.364197,2.375
1990-02-09,22.30625,10.53125,93.199203,2.421875
1990-02-12,21.7875,10.53125,91.549698,2.359375
1990-02-13,21.47625,10.5,91.384697,2.375
1990-02-14,21.47625,10.65625,90.724899,2.375
1990-02-15,21.995001,10.9375,90.065102,2.46875
1990-02-16,22.202499,11.1875,91.054802,2.46875
1990-02-20,21.58,11.03125,91.549698,2.375
1990-02-21,21.58,10.96875,91.219803,2.359375
1990-02-22,21.372499,11.09375,91.7146,2.390625
1990-02-23,21.372499,11.0,90.724899,2.390625
1990-02-26,22.202499,11.0,93.364197,2.4375
1990-02-27,22.098749,11.21875,93.034302,2.4375
1990-02-28,22.30625,11.125,93.859001,2.4375
1990-03-01,22.30625,11.15625,95.6735,2.40625
