date,Wellfargo_OT,BAC_OT,Barclay_OT,OT
1990-04-19,2.359375,9.3125,89.735199,24.692499
1990-04-20,2.34375,9.28125,88.415497,23.655001
1990-04-23,2.359375,9.25,85.611298,23.655001
1990-04-24,2.328125,9.25,84.786499,23.24
1990-04-25,2.3125,9.125,83.301903,23.758751
1990-04-26,2.296875,9.21875,83.631897,24.07
1990-04-27,2.234375,9.3125,82.477203,23.758751
1990-04-30,2.25,9.5,83.137001,23.862499
1990-05-01,2.28125,9.71875,83.9618,24.07
1990-05-02,2.34375,9.8125,85.776299,25.00375
1990-05-03,2.375,10.0,85.776299,24.38125
1990-05-04,2.390625,9.875,87.9207,24.692499
1990-05-07,2.40625,9.9375,87.9207,24.796249
1990-05-08,2.4375,9.75,89.075302,24.588751
1990-05-09,2.453125,9.6875,86.436096,24.588751
1990-05-10,2.453125,9.65625,86.930901,24.692499
1990-05-11,2.5625,9.84375,87.425797,25.315001
1990-05-14,2.671875,9.875,88.580498,25.9375
1990-05-15,2.75,9.90625,88.250603,26.456249
1990-05-16,2.734375,9.84375,88.580498,26.456249
1990-05-17,2.703125,9.875,90.559898,26.66375
1990-05-18,2.6875,9.8125,90.230003,26.456249
1990-05-21,2.703125,9.84375,90.724899,26.7675
1990-05-22,2.65625,9.65625,92.209503,26.975
1990-05-23,2.640625,9.6875,89.735199,26.87125
1990-05-24,2.671875,9.46875,88.9104,27.078751
1990-05-25,2.671875,9.25,88.679497,26.559999
1990-05-29,2.734375,9.3125,89.372299,27.389999
1990-05-30,2.84375,9.4375,91.681602,27.078751
1990-05-31,2.796875,9.6875,92.6054,27.078751
1990-06-01,2.859375,9.96875,93.529099,27.286249
1990-06-04,2.859375,10.5,94.6838,27.5975
1990-06-05,2.921875,10.875,96.069397,28.53125
1990-06-06,2.859375,10.8125,94.452904,27.805
1990-06-07,2.859375,10.25,92.836304,27.389999
1990-06-08,2.8125,10.34375,92.374397,26.559999
1990-06-11,2.8125,10.34375,91.450699,27.182501
1990-06-12,2.828125,10.375,91.912598,27.49375
1990-06-13,2.8125,10.09375,93.529099,27.5975
1990-06-14,2.796875,9.4375,92.143501,28.116249
1990-06-15,2.75,9.8125,90.757896,27.908751
1990-06-18,2.6875,9.59375,89.372299,27.389999
1990-06-19,2.703125,9.5625,90.065102,27.286249
1990-06-20,2.6875,9.40625,92.836304,27.70125
1990-06-21,2.6875,9.59375,93.0672,27.908751
1990-06-22,2.609375,9.4375,93.298203,28.32375
1990-06-25,2.609375,9.4375,95.376602,28.219999
1990-06-26,2.65625,9.125,95.145699,27.805
1990-06-27,2.71875,9.25,93.298203,28.53125
1990-06-28,2.71875,9.34375,91.681602,28.4275
1990-06-29,2.71875,9.375,90.9888,28.32375
1990-07-02,2.65625,9.28125,90.295998,28.635
1990-07-03,2.71875,9.125,89.834099,29.2575
1990-07-05,2.71875,8.90625,90.295998,29.049999
1990-07-06,2.734375,9.25,91.912598,29.2575
1990-07-09,2.765625,9.0,93.0672,28.946251
1990-07-10,2.640625,8.71875,92.374397,28.946251
1990-07-11,2.53125,8.65625,93.760101,29.56875
1990-07-12,2.546875,8.59375,94.221901,30.19125
1990-07-13,2.609375,8.6875,92.836304,30.502501
1990-07-16,2.625,9.125,94.6838,31.02125
1990-07-17,2.609375,9.46875,96.762199,30.606251
1990-07-18,2.5,9.375,97.455002,30.0875
1990-07-19,2.484375,9.28125,95.838501,28.73875
1990-07-20,2.53125,9.1875,94.221901,27.70125
1990-07-23,2.5,9.0625,91.681602,27.182501
1990-07-24,2.484375,9.0,91.681602,26.66375
1990-07-25,2.546875,9.0625,93.990997,27.286249
1990-07-26,2.4375,9.03125,92.836304,27.805
1990-07-27,2.484375,9.03125,90.9888,26.456249
1990-07-30,2.484375,8.9375,89.141296,26.248751
